order_id,customer_id,date_commande,statut,canal,frais_livraison_fcfa,montant_total_fcfa
O0000093,C000466,2025-12-14 19:36:35,retournée,mobile_app,1500,430500
O0000094,C000985,2026-01-28 08:25:42,livrée,mobile_app,2000,241000
O0000095,C001324,2026-02-15 11:25:36,livrée,mobile_app,2000,15000 FCFA
O0000096,C003014,2025-12-04 06:35:39,livrée,mobile_app,2000,9500
O0000097,C001745,2025-03-06 09:36:03,annulée,web,1000,227400
O0000098,C002486,2024-07-20 16:42:52,livrée,mobile_app,1500,36000
O0000099,C003676,2024-08-06 12:49:38,livrée,web,1500,106000
O0000100,C003634,2025-02-27 13:06:42,livrée,mobile_app,0,99700
O0000101,C000369,2024-10-22 19:32:36,livrée,mobile_app,1500,109500
O0000102,C000306,2024-12-25 15:39:09,livrée,mobile_app,2000,391300
O0000103,C000116,2024-10-29 19:04:12,livrée,mobile_app,1500,12500
O0000104,C000001,2024-08-19 20:13:48,livrée,web,3000,150000
O0000105,C000061,2026-06-13 15:52:14,livrée,web,2000,95000
O0000106,C000182,2025-03-31 17:21:46,livrée,mobile_app,1500,483500
O0000107,C001539,2025-08-13 09:02:17,livrée,mobile_app,1000,36500
O0000108,C000982,2025-04-01 13:51:57,livrée,mobile_app,1500,14500
O0000109,C002351,2025-05-27 19:19:03,livrée,mobile_app,2000,36400
O0000110,C003744,2024-07-19 18:19:55,livrée,web,1000,36000
O0000111,C000342,2026-04-26 18:27:57,en_cours,mobile_app,2000,45500
O0000112,C000001,2025-05-05 14:05:08,livrée,mobile_app,2000,41000
O0000113,C001561,2025-12-12 13:57:14,livrée,mobile_app,0,31500
O0000114,C002654,2025-06-16 17:13:31,livrée,web,2000,274000
O0000115,C000362,2025-07-07 08:59:53,livrée,mobile_app,1000,819600
O0000116,C000006,2025-07-19 22:36:53,annulée,web,2000,458000
O0000117,C004043,2024-10-12 08:43:57,annulée,web,2000,65500
O0000118,C000281,2025-11-17 17:38:38,livrée,web,1000,111500
O0000119,C000001,2025-07-29 07:38:44,annulée,mobile_app,1500,10000
O0000120,C004808,2025-05-16 21:14:30,livrée,mobile_app,1000,222000
O0000121,C003018,2026-02-28 15:09:43,livrée,mobile_app,1500,12300
O0000122,C002044,2025-01-06 18:41:44,livrée,mobile_app,1500,786800
O0000123,C000001,2025-01-08 10:46:42,livrée,web,1000,3000
O0000124,C003117,2026-05-10 22:02:51,livrée,mobile_app,1000,52500
O0000125,C001839,2024-09-24 16:43:45,livrée,mobile_app,3000,1283000
O0000126,C004530,2026-06-01 18:05:28,livrée,mobile_app,2000,386500
O0000127,C000202,2025-12-17 14:00:17,livrée,mobile_app,1000,69000
O0000128,C003099,2026-01-15 10:17:44,livrée,mobile_app,3000,37600
O0000129,C000163,2024-08-21 14:46:47,livrée,mobile_app,3000,282400
O0000130,C001871,2026-06-21 06:02:47,livrée,web,2000,54500
O0000131,C004900,2025-07-05 19:21:02,livrée,mobile_app,1500,121800
O0000132,C000136,2024-08-31 20:12:54,livrée,mobile_app,1500,40500
O0000133,C002645,2025-10-06 22:06:26,en_cours,mobile_app,1000,10000
O0000134,C004068,2025-05-08 08:21:40,livrée,web,2000,584800
O0000135,C000175,2025-12-18 08:51:09,livrée,web,1500,118100
O0000136,C000001,2024-12-23 22:09:16,livrée,mobile_app,3000,279000
O0000137,C000213,2024-07-14 21:34:29,livrée,mobile_app,1000,290400
O0000138,C000216,2024-08-29 10:45:32,livrée,web,3000,47500
O0000139,C004581,2025-05-28 06:06:00,livrée,mobile_app,0,4000
O0000140,C000001,2024-12-22 08:59:16,retournée,mobile_app,1000,37000
O0000141,C004798,2026-03-14 16:53:46,livrée,mobile_app,1500,99500
O0000142,C000779,2024-12-11 08:08:15,livrée,web,1000,393500
O0000143,C000001,2024-11-01 20:24:15,livrée,web,1500,22500
O0000144,C001759,2025-02-06 13:16:53,livrée,mobile_app,2000,14500
O0000145,C001598,2026-04-22 21:43:05,livrée,web,0,93000
O0000146,C001773,2025-12-17 20:11:57,livrée,mobile_app,3000,53400
O0000147,C003060,2025-01-14 06:22:46,en_cours,mobile_app,1000,606500
O0000148,C004798,2025-06-14 14:11:50,livrée,mobile_app,0,95000
O0000149,C000113,2024-12-09 12:09:40,livrée,mobile_app,0,177500
O0000150,C002631,2024-08-17 09:54:52,livrée,mobile_app,2000,157300
O0000151,C001299,2024-09-21 19:06:40,retournée,mobile_app,1000,28000
O0000152,C004823,2025-06-08 12:23:30,livrée,mobile_app,1500,120700
O0000153,C004404,2024-08-26 07:25:57,livrée,mobile_app,1000,768000
O0000154,C003064,2025-03-18 16:39:49,retournée,mobile_app,2000,440500
O0000155,C000880,2025-11-02 18:02:22,en_cours,mobile_app,1500,51000
O0000156,C000738,2025-11-17 14:20:22,livrée,mobile_app,1000,5000
O0000157,C000079,2024-12-15 15:00:25,livrée,mobile_app,1000,109000
O0000158,C000123,2026-04-09 22:03:14,livrée,mobile_app,1000,11800
O0000159,C000020,2024-11-03 10:58:33,livrée,mobile_app,3000,419000
O0000160,C003962,2026-01-28 21:04:55,livrée,mobile_app,2000,118000
O0000161,C000055,2026-02-25 13:25:04,annulée,mobile_app,3000,727500
O0000162,C000001,2024-12-01 09:35:46,livrée,mobile_app,1000,8500
O0000163,C000201,2025-11-09 07:42:23,livrée,web,3000,76500
O0000164,C002070,2026-04-12 14:42:01,livrée,web,1000,277000
O0000165,C000775,2024-12-23 11:04:22,livrée,mobile_app,1500,68600
O0000166,C000445,2024-09-23 17:49:01,livrée,mobile_app,2000,13200
O0000167,C000001,2024-12-30 09:51:33,livrée,mobile_app,1500,608000
O0000168,C000221,2026-03-02 20:34:18,annulée,mobile_app,1000,10500
O0000169,C000009,2025-03-12 17:59:28,annulée,mobile_app,1500,78700
O0000170,C000942,2026-02-05 14:40:01,livrée,mobile_app,1000,37000
O0000171,C000286,2025-04-23 21:56:21,livrée,mobile_app,1500,14000
O0000172,C000239,2026-03-29 06:09:55,livrée,web,1000,70500
O0000173,C000355,2025-05-23 19:56:42,livrée,web,2000,5000
O0000174,C000001,2025-12-27 16:00:43,livrée,mobile_app,1000,486000
O0000175,C004535,2025-12-20 14:10:38,en_cours,mobile_app,0,1058000
O0000176,C000031,2024-07-28 20:16:49,livrée,mobile_app,1000,56300
O0000177,C001097,2024-12-25 10:54:01,livrée,mobile_app,2000,47000
O0000178,C001965,2024-07-01 11:37:45,livrée,web,1000,125500
O0000179,C000591,2026-04-07 09:34:04,livrée,mobile_app,1500,246500
O0000180,C004583,2026-05-06 07:16:35,livrée,mobile_app,1500,151000
O0000181,C000012,2025-03-11 08:19:51,annulée,web,1000,289000
O0000182,C001368,2025-02-14 19:59:09,livrée,mobile_app,2000,74500
O0000183,C002217,2025-03-18 07:29:42,livrée,web,1000,59400
O0000184,C000438,2024-07-20 13:47:15,livrée,web,2000,368500
O0000185,C001305,2025-04-10 19:33:49,livrée,mobile_app,1000,297500
O0000186,C000006,2025-07-03 11:16:36,livrée,web,1500,2000
O0000187,C000001,2024-09-20 19:32:49,livrée,mobile_app,1500,52500
O0000188,C001092,2024-10-17 07:11:42,en_cours,mobile_app,0,125500
O0000189,C002928,2025-04-03 21:32:52,livrée,mobile_app,3000,994000
O0000190,C002978,2025-05-28 12:49:17,livrée,web,2000,39500
O0000191,C001339,2026-03-11 20:17:57,livrée,mobile_app,2000,59500
O0000192,C004507,2026-03-24 18:19:50,livrée,web,1000,14000
O0000193,C001788,2026-03-05 17:43:35,livrée,mobile_app,2000,673000
O0000194,C004384,2025-11-19 18:19:07,livrée,web,1000,179700
O0000195,C004662,2026-06-04 06:15:35,livrée,mobile_app,3000,54500
O0000196,C000275,2025-06-20 09:22:39,livrée,mobile_app,1500,3500
O0000197,C000002,2025-12-27 14:31:41,livrée,mobile_app,1000,800500
O0000198,C003993,2025-12-20 17:15:33,retournée,mobile_app,1000,140000
O0000199,C000001,2024-09-09 17:48:03,en_cours,web,1000,1420500
O0000200,C001708,2026-02-02 15:26:18,livrée,mobile_app,1500,115500
O0000201,C002972,2025-08-25 22:48:37,livrée,web,1000,557400
O0000202,C000001,2026-01-11 17:02:22,livrée,mobile_app,2000,66000
O0000203,C004285,2025-11-09 08:05:06,retournée,web,1500,61000
O0000204,C004270,2025-11-08 08:18:23,livrée,web,1500,63500
O0000205,C004773,2026-05-13 22:02:31,livrée,web,0,184500
O0000206,C002267,2025-09-11 17:10:56,livrée,web,3000,203500
O0000207,C004093,2025-01-17 07:12:57,livrée,mobile_app,1000,93000
O0000208,C002600,2024-07-22 13:42:33,annulée,mobile_app,3000,65500
O0000209,C000019,2025-04-30 13:51:32,livrée,web,2000,497500
O0000210,C004389,2025-04-06 18:12:58,en_cours,web,1500,43000
O0000211,C000248,2026-04-16 15:08:57,livrée,mobile_app,1500,29000
O0000212,C001296,2024-10-20 21:40:56,annulée,mobile_app,2000,46000
O0000213,C001995,2024-09-10 14:28:04,livrée,mobile_app,3000,323500
O0000214,C001026,2024-11-27 13:52:51,livrée,web,2000,5000
O0000215,C002983,2025-06-10 12:56:24,annulée,mobile_app,1500,201000
O0000216,C000111,2025-05-10 14:37:45,livrée,mobile_app,1000,573000
O0000217,C000029,2026-02-09 19:20:20,livrée,mobile_app,0,363000
O0000218,C000302,2026-05-26 19:43:39,livrée,web,2000,171000
O0000219,C003056,2024-09-07 07:32:29,annulée,mobile_app,2000,5000
O0000220,C000091,2025-01-15 17:59:24,livrée,mobile_app,1500,21000
O0000221,C003446,2025-10-31 17:17:12,livrée,mobile_app,1000,3000
O0000222,C002730,2025-12-13 21:23:23,retournée,mobile_app,1500,20500
O0000223,C002029,2024-09-18 14:02:05,livrée,mobile_app,1500,95000
O0000224,C000186,2026-05-23 09:30:31,livrée,web,1000,2700
O0000225,C000376,2024-12-29 16:56:29,livrée,web,0,35500
O0000226,C000010,2026-01-10 20:49:35,en_cours,web,3000,18000
O0000227,C000505,2024-10-16 12:18:52,en_cours,mobile_app,0,64000
O0000228,C000534,2026-03-02 11:13:03,livrée,mobile_app,3000,20500
O0000229,C000525,2025-07-01 20:29:05,livrée,web,0,396000
O0000230,C000052,2026-03-08 15:31:39,livrée,mobile_app,2000,706500
O0000231,C000306,2024-10-22 13:06:11,livrée,web,3000,8000
O0000232,C003742,2026-06-24 09:40:04,annulée,mobile_app,3000,63500
O0000233,C002941,2026-02-20 09:47:19,annulée,mobile_app,3000,1018500
O0000234,C000074,2026-04-23 06:10:50,livrée,web,3000,94000
O0000235,C000329,2025-03-05 10:44:18,livrée,mobile_app,1500,421000
O0000236,C000581,2024-08-31 11:49:08,livrée,mobile_app,1000,174500
O0000237,C000001,2025-05-11 19:11:24,retournée,web,1500,107500
O0000238,C002850,2025-01-20 15:01:59,livrée,mobile_app,3000,4500
O0000239,C003944,2024-12-01 10:33:32,livrée,web,1000,257000
O0000240,C000002,2026-06-06 15:08:36,livrée,mobile_app,1500,57500
O0000241,C002834,2025-11-18 17:08:44,livrée,mobile_app,2000,218000
O0000242,C000014,2025-07-04 07:22:18,livrée,mobile_app,3000,374800
O0000243,C000932,2026-05-30 19:58:59,livrée,mobile_app,1500,498500
O0000244,C004185,2025-07-13 17:31:12,en_cours,web,2000,25000
O0000245,C004907,2026-02-02 11:25:33,livrée,web,0,12500
O0000246,C000001,2025-10-01 15:47:26,livrée,mobile_app,1000,2000
O0000247,C000688,2024-09-24 21:54:24,annulée,web,3000,10500
O0000248,C003452,2026-04-17 15:38:52,livrée,web,3000,8000
O0000249,C000297,2024-12-18 17:13:37,livrée,mobile_app,1000,372000
O0000250,C000010,2025-01-06 14:55:43,retournée,mobile_app,3000,1148000
O0000251,C001787,2025-06-18 21:23:58,livrée,mobile_app,1000,674000
O0000252,C000002,2025-08-05 15:16:34,livrée,web,1500,21300
O0000253,C003702,2025-05-10 19:40:45,livrée,mobile_app,2000,104000
O0000254,C001992,2025-02-26 06:54:26,livrée,mobile_app,1000,233200
O0000255,C001992,2025-12-25 21:01:02,livrée,mobile_app,3000,21000
O0000256,C000106,2025-05-21 21:20:16,livrée,mobile_app,1500,13000
O0000257,C000232,2024-09-03 21:44:25,retournée,mobile_app,2000,32000
O0000258,C002747,2026-01-09 08:04:32,livrée,mobile_app,1000,814500
O0000259,C000399,2026-04-28 10:25:53,livrée,mobile_app,1500,92500
O0000260,C000648,2025-02-04 22:42:43,livrée,mobile_app,1500,115800
O0000261,C002668,2025-02-21 06:10:23,livrée,web,3000,113500
O0000262,C001320,2024-12-22 11:41:06,livrée,web,1500,493000
O0000263,C004530,2026-04-11 06:47:15,livrée,mobile_app,2000,174900
O0000264,C002461,2024-08-20 21:36:05,livrée,mobile_app,1000,151500
O0000265,C001232,2025-01-16 13:04:50,livrée,web,1500,536000
O0000266,C000067,2025-10-19 12:30:18,retournée,mobile_app,1000,899800
O0000267,C001394,2025-08-03 19:31:06,en_cours,mobile_app,0,111000
O0000268,C000440,2025-12-28 07:53:52,livrée,mobile_app,3000,12000
O0000269,C000479,2024-09-16 11:16:34,livrée,mobile_app,1000,118000
O0000270,C002285,2025-01-29 13:53:49,livrée,mobile_app,2000,290000
O0000271,C002281,2024-11-10 07:17:28,livrée,mobile_app,1500,316700
O0000272,C002228,2024-11-01 12:12:22,retournée,mobile_app,2000,70000
O0000273,C002939,2026-01-29 06:51:01,livrée,mobile_app,2000,33300
O0000274,C003755,2026-06-02 12:48:22,en_cours,web,1500,474500
O0000275,C000906,2024-07-23 18:46:35,en_cours,mobile_app,2000,43000
O0000276,C000024,2025-04-02 16:37:02,livrée,mobile_app,1000,572300
O0000277,C002281,2026-03-27 13:15:21,livrée,mobile_app,2000,47000
O0000278,C000365,2025-07-25 21:31:20,en_cours,mobile_app,0,29500
O0000279,C001650,2024-12-02 09:37:02,livrée,web,1000,38500
O0000280,C004237,2024-07-23 21:54:37,livrée,mobile_app,0,83700
O0000281,C000024,2024-12-26 15:25:59,livrée,web,1500,205000
O0000282,C000032,2025-04-22 14:26:38,livrée,web,1000,27500
O0000283,C002955,2024-07-04 10:49:13,livrée,mobile_app,1500,217500
O0000284,C000427,2025-07-17 16:52:16,livrée,web,1500,10500
O0000285,C001106,2026-04-18 22:08:09,livrée,web,3000,265500
O0000286,C000032,2024-10-20 11:41:48,livrée,mobile_app,1500,85000
O0000287,C000033,2024-12-02 18:00:16,annulée,mobile_app,2000,110000
O0000288,C000072,2024-11-15 12:14:00,retournée,web,1000,33200
O0000289,C000053,2026-06-13 07:57:02,livrée,mobile_app,2000,49500
O0000290,C000457,2026-04-17 08:38:06,livrée,mobile_app,2000,633900
O0000291,C001377,2024-10-28 10:59:27,en_cours,mobile_app,1000,33500
O0000292,C000001,2025-07-11 17:44:41,livrée,web,1500,46900
O0000293,C000749,2025-11-15 15:52:30,en_cours,web,3000,6000
O0000294,C000130,2026-06-15 20:32:23,annulée,mobile_app,0,553200
O0000295,C000711,2024-11-13 12:19:41,livrée,mobile_app,1000,3000
O0000296,C001766,2026-02-22 06:23:35,livrée,mobile_app,3000,64500
O0000297,C000320,2026-02-27 09:48:27,livrée,web,1500,293500
O0000298,C000022,2025-12-17 13:58:55,livrée,mobile_app,1500,18000
O0000299,C000977,2025-06-12 09:31:59,livrée,web,2000,119000
O0000300,C001509,2026-06-27 10:13:51,livrée,mobile_app,1500,429000
O0000301,C004213,2026-05-02 21:52:00,livrée,web,3000,7500
O0000302,C003582,2025-05-15 20:37:32,livrée,mobile_app,1000,143500
O0000303,C004093,2025-09-05 13:10:27,livrée,mobile_app,1500,111500
O0000304,C004625,2024-08-18 14:56:18,livrée,web,1500,79500
O0000305,C000015,2024-08-09 09:21:31,livrée,mobile_app,3000,57500
O0000306,C000068,2026-02-11 10:31:47,livrée,web,1000,129500
O0000307,C003509,2025-04-25 20:36:47,livrée,mobile_app,1000,207000
O0000308,C002690,2025-12-06 18:28:45,annulée,web,1500,178500
O0000309,C000046,2025-10-05 14:19:11,en_cours,mobile_app,2000,55500
O0000310,C002617,2026-04-10 11:16:47,livrée,mobile_app,0,208100
O0000311,C000113,2025-10-08 19:25:51,annulée,mobile_app,1000,749000
O0000312,C001943,2025-08-06 22:50:40,en_cours,mobile_app,1000,183000
O0000313,C004093,2025-11-25 07:54:33,livrée,web,1500,155000
O0000314,C000103,2024-09-28 10:32:37,en_cours,web,1000,309000
O0000315,C000224,2024-11-23 16:50:24,livrée,mobile_app,1000,125500
O0000316,C000001,2025-12-16 09:52:24,livrée,mobile_app,1500,22000
O0000317,C000102,2025-10-06 22:33:56,livrée,mobile_app,3000,945700
O0000318,C001880,2025-05-30 08:58:33,livrée,mobile_app,1500,30000
O0000319,C002591,2024-09-18 11:28:07,en_cours,web,3000,69500
O0000320,C001458,2024-10-29 19:42:11,retournée,web,2000,39500
O0000321,C001559,2024-11-21 15:20:54,livrée,mobile_app,1000,84500
O0000322,C002580,2024-10-02 06:16:33,livrée,web,3000,145500
O0000323,C004457,2026-03-12 21:26:14,retournée,mobile_app,1500,134000
O0000324,C001067,2026-03-26 11:58:41,annulée,mobile_app,2000,525500
O0000325,C000295,2025-02-23 18:58:38,livrée,mobile_app,1000,4500
O0000326,C000058,2024-11-26 07:26:29,livrée,mobile_app,1000,11500
O0000327,C000045,2025-06-21 09:41:00,en_cours,mobile_app,1000,249800
O0000328,C000668,2026-06-30 11:20:04,livrée,mobile_app,1000,36800
O0000329,C000219,2024-08-28 15:28:14,livrée,mobile_app,1000,54700
O0000330,C000520,2026-05-05 12:09:52,livrée,mobile_app,2000,37500
O0000331,C000659,2025-08-03 21:28:15,livrée,mobile_app,1000,1102500
O0000332,C002475,2025-07-18 10:28:13,livrée,web,1000,23500
O0000333,C004642,2024-10-12 20:24:00,livrée,mobile_app,3000,1659500
O0000334,C000001,2025-04-02 14:43:59,livrée,mobile_app,3000,362500
O0000335,C003429,2024-12-06 17:33:59,en_cours,web,0,161500
O0000336,C000002,2026-03-29 08:06:44,en_cours,mobile_app,1000,138200
O0000337,C000908,2025-11-07 10:28:11,en_cours,web,3000,29000
O0000338,C000395,2026-02-17 17:17:32,livrée,mobile_app,1500,229500
O0000339,C000041,2026-02-26 09:19:52,livrée,web,2000,29000
O0000340,C000738,2025-11-06 06:59:30,livrée,mobile_app,1500,68000
O0000341,C000001,2025-12-11 10:27:33,livrée,web,3000,13100
O0000342,C000634,2026-01-13 16:22:12,livrée,mobile_app,1500,39500
O0000343,C000220,2025-12-17 19:36:38,en_cours,mobile_app,1000,73500
O0000344,C001057,2025-07-13 12:17:19,livrée,web,0,715000
O0000345,C004264,2025-08-26 11:55:30,livrée,web,1500,4300
O0000346,C000001,2026-06-27 08:07:17,livrée,mobile_app,2000,7500
O0000347,C002055,2026-06-28 17:24:58,retournée,mobile_app,1000,207200
O0000348,C003621,2025-10-27 14:49:02,livrée,web,2000,6500
O0000349,C000521,2024-12-04 14:05:33,livrée,mobile_app,1000,30400
O0000350,C000110,2024-10-14 16:03:13,livrée,web,2000,417000
O0000351,C000001,2025-04-21 08:06:46,en_cours,mobile_app,1500,40500
O0000352,C004760,2026-02-17 20:41:29,annulée,web,0,71000
O0000353,C000203,2025-03-22 07:44:37,livrée,mobile_app,0,473000
O0000354,C000655,2025-02-10 16:23:56,livrée,mobile_app,3000,111000
O0000355,C004811,2025-12-05 17:49:07,livrée,mobile_app,1000,260500
O0000356,C000039,2025-05-27 22:41:52,livrée,web,2000,54500
O0000357,C003391,2025-09-21 15:32:05,livrée,mobile_app,1500,98500
O0000358,C001018,2026-02-01 22:34:01,livrée,mobile_app,1000,150000
O0000359,C001566,2026-02-11 20:41:30,livrée,mobile_app,1000,439000
O0000360,C001050,2025-09-14 22:23:45,annulée,mobile_app,2000,12500
O0000361,C000020,2026-04-30 22:08:16,livrée,web,1500,1742000
O0000362,C000036,2026-03-30 16:59:48,retournée,mobile_app,1000,73000
O0000363,C000714,2024-10-07 10:59:18,livrée,mobile_app,1500,90500
O0000364,C000001,2025-12-11 20:16:12,livrée,mobile_app,3000,21500
O0000365,C000002,2025-12-12 13:24:30,annulée,mobile_app,1500,300500
O0000366,C001451,2025-01-24 20:03:37,en_cours,web,1000,16100
O0000367,C000001,2025-02-25 12:41:04,livrée,web,1500,71000
O0000368,C000059,2025-10-09 06:54:21,livrée,mobile_app,1000,788000
O0000369,C000003,2026-06-01 20:46:41,livrée,mobile_app,3000,22000
O0000370,C000001,2024-12-28 07:56:19,livrée,mobile_app,0,87200
O0000371,C000002,2026-04-06 18:29:45,en_cours,web,0,71500
O0000372,C000591,2025-02-18 06:59:19,livrée,web,2000,12500
O0000373,C001561,2025-11-21 12:59:58,annulée,web,3000,42000
O0000374,C002776,2025-04-03 14:11:37,livrée,web,1500,18000
O0000375,C000151,2026-02-21 21:15:25,livrée,web,1000,198300
O0000376,C001185,2026-01-18 07:27:30,livrée,mobile_app,1000,202900
O0000377,C003956,2026-03-28 12:31:32,livrée,mobile_app,1500,71000
O0000378,C000599,2026-05-18 14:15:51,livrée,mobile_app,2000,418300
