product_id,nom_produit,categorie,marque,prix_unitaire_fcfa,stock
P00049,Penc Mi Beauté & Soins 0049,Beauté & Soins,Penc Mi,19000,771
P00050,Sunu Tech Maison & Cuisine 0050,Maison & Cuisine,Sunu Tech,74500,761
P00051,Adidas Informatique 0051,Informatique,Adidas,174500,510
P00052,Samsung Téléphonie 0052,Téléphonie,Samsung,388500,130
P00053,LG Sport & Loisirs 0053,Sport & Loisirs,LG,5500,179
P00054,Adidas Électroménager 0054,Électroménager,Adidas,20500,252
P00055,Teranga Home Électroménager 0055,Électroménager,Teranga Home,61500,40
P00056,Hisense Informatique 0056,Informatique,Hisense,54500,112
P00057,Tecno Mode Femme 0057,Mode Femme,Tecno,18500,620
P00058,Dakar Style Beauté & Soins 0058,Beauté & Soins,Dakar Style,4000,343
P00059,Dakar Style Enfants & Jouets 0059,Enfants & Jouets,Dakar Style,18500,673
P00060,Itel Mode Femme 0060,Mode Femme,Itel,67000,49
P00061,LG Mode Homme 0061,Mode Homme,LG,30000,72
P00062,Tecno Sport & Loisirs 0062,Sport & Loisirs,Tecno,15000,551
P00063,Samsung Électroménager 0063,Électroménager,Samsung,571000,205
P00064,HP Téléphonie 0064,Téléphonie,HP,206500,180
P00065,Samsung Téléphonie 0065,Téléphonie,Samsung,236500,513
P00066,HP Épicerie 0066,Épicerie,HP,1000,730
P00067,Royal Sport & Loisirs 0067,Sport & Loisirs,Royal,34000,335
P00068,LG Informatique 0068,Informatique,LG,32000,610
P00069,Infinix Électroménager 0069,Électroménager,Infinix,44500,274
P00070,Adidas Épicerie 0070,Épicerie,Adidas,500,671
P00071,Kirène Maison & Cuisine 0071,Maison & Cuisine,Kirène,38500,339
P00072,Adidas Mode Femme 0072,Mode Femme,Adidas,3000,121
P00073,HP Mode Homme 0073,Mode Homme,HP,11500,404
P00074,Penc Mi Mode Homme 0074,Mode Homme,Penc Mi,21000,233
P00075,Lenovo Sport & Loisirs 0075,Sport & Loisirs,Lenovo,10500,147
P00076,Tecno Informatique 0076,Informatique,Tecno,93000,147
P00077,Royal Épicerie 0077,Épicerie,Royal,15000,310
P00078,Dakar Style Électroménager 0078,Électroménager,Dakar Style,429000,7
P00079,Itel Électroménager 0079,Électroménager,Itel,371000,55
P00080,LG Mode Homme 0080,Mode Homme,LG,28500,471
P00081,Tecno Sport & Loisirs 0081,Sport & Loisirs,Tecno,9500,4
P00082,Hisense Téléphonie 0082,Téléphonie,Hisense,19500,617
P00083,Hisense Informatique 0083,Informatique,Hisense,144000,780
P00084,HP Mode Homme 0084,Mode Homme,HP,48000,146
P00085,Nivea Informatique 0085,Informatique,Nivea,55500,43
P00086,Royal Mode Homme 0086,Mode Homme,Royal,5500,168
P00087,Hisense Mode Femme 0087,Mode Femme,Hisense,39000,34
P00088,Penc Mi Maison & Cuisine 0088,Maison & Cuisine,Penc Mi,24500,215
P00089,Hisense Mode Homme 0089,Mode Homme,Hisense,10000,711
P00090,LG Beauté & Soins 0090,Beauté & Soins,LG,25500,655
P00091,Royal Enfants & Jouets 0091,Enfants & Jouets,Royal,13000,780
P00092,Infinix Mode Femme 0092,Mode Femme,Infinix,61500,649
P00093,Kirène Épicerie 0093,Épicerie,Kirène,2000,675
P00094,Adidas Électroménager 0094,Électroménager,Adidas,90500,473
P00095,Lenovo Épicerie 0095,Épicerie,Lenovo,500,111
P00096,Itel Beauté & Soins 0096,Beauté & Soins,Itel,5000,615
P00097,Penc Mi Informatique 0097,Informatique,Penc Mi,47500,511
P00098,Tecno Enfants & Jouets 0098,Enfants & Jouets,Tecno,2000,769
P00099,Samsung Sport & Loisirs 0099,Sport & Loisirs,Samsung,9000,557
P00100,Adidas Mode Homme 0100,Mode Homme,Adidas,13000,436
P00101,Hisense Maison & Cuisine 0101,Maison & Cuisine,Hisense,6500,617
P00102,Infinix Enfants & Jouets 0102,Enfants & Jouets,Infinix,3000,524
P00103,LG Téléphonie 0103,Téléphonie,LG,69500,90
P00104,Penc Mi Téléphonie 0104,Téléphonie,Penc Mi,25000,489
P00105,Hisense Sport & Loisirs 0105,Sport & Loisirs,Hisense,5000,312
P00106,Nivea Électroménager 0106,Électroménager,Nivea,524000,130
P00107,Samsung Épicerie 0107,Épicerie,Samsung,3000,220
P00108,Dakar Style Sport & Loisirs 0108,Sport & Loisirs,Dakar Style,48500,667
P00109,Infinix Enfants & Jouets 0109,Enfants & Jouets,Infinix,3500,523
P00110,Itel Sport & Loisirs 0110,Sport & Loisirs,Itel,17000,46
P00111,HP Enfants & Jouets 0111,Enfants & Jouets,HP,2500,274
P00112,LG Maison & Cuisine 0112,Maison & Cuisine,LG,12500,548
P00113,HP Informatique 0113,Informatique,HP,483000,407
P00114,Kirène Électroménager 0114,Électroménager,Kirène,416500,620
P00115,LG Épicerie 0115,Épicerie,LG,4000,501
P00116,Tecno Électroménager 0116,Électroménager,Tecno,53000,29
P00117,Hisense Enfants & Jouets 0117,Enfants & Jouets,Hisense,21000,692
P00118,Samsung Épicerie 0118,Épicerie,Samsung,6000,456
P00119,Itel Maison & Cuisine 0119,Maison & Cuisine,Itel,15500,736
P00120,Adidas Informatique 0120,Informatique,Adidas,137500,176
P00121,Adidas Informatique 0121,Informatique,Adidas,146500,554
P00122,Royal Sport & Loisirs 0122,Sport & Loisirs,Royal,11500,23
P00123,LG Mode Femme 0123,Mode Femme,LG,16500,125
P00124,Kirène Mode Femme 0124,Mode Femme,Kirène,3500,706
P00125,Tecno Téléphonie 0125,Téléphonie,Tecno,104500,711
P00126,LG Mode Femme 0126,Mode Femme,LG,15500,763
P00127,Itel Téléphonie 0127,Téléphonie,Itel,62500,163
P00128,Tecno Informatique 0128,Informatique,Tecno,80000,713
P00129,Nivea Enfants & Jouets 0129,Enfants & Jouets,Nivea,15000,42
P00130,Tecno Sport & Loisirs 0130,Sport & Loisirs,Tecno,18000,320
P00131,Adidas Enfants & Jouets 0131,Enfants & Jouets,Adidas,3000,349
P00132,Kirène Enfants & Jouets 0132,Enfants & Jouets,Kirène,6500,633
P00133,Penc Mi Enfants & Jouets 0133,Enfants & Jouets,Penc Mi,2500,547
P00134,Royal Mode Femme 0134,Mode Femme,Royal,10500,287
P00135,Itel Électroménager 0135,Électroménager,Itel,122500,119
P00136,Royal Maison & Cuisine 0136,Maison & Cuisine,Royal,11500,292
P00137,Nivea Maison & Cuisine 0137,Maison & Cuisine,Nivea,9500,239
P00138,Hisense Mode Femme 0138,Mode Femme,Hisense,7500,536
P00139,Hisense Mode Femme 0139,Mode Femme,Hisense,10500,64
P00140,Infinix Électroménager 0140,Électroménager,Infinix,25500,328
P00141,Kirène Mode Femme 0141,Mode Femme,Kirène,78500,494
P00142,Kirène Enfants & Jouets 0142,Enfants & Jouets,Kirène,12000,517
P00143,Dakar Style Mode Femme 0143,Mode Femme,Dakar Style,24000,566
P00144,Nivea Beauté & Soins 0144,Beauté & Soins,Nivea,2500,229
P00145,Infinix Enfants & Jouets 0145,Enfants & Jouets,Infinix,39000,415
P00146,Royal Épicerie 0146,Épicerie,Royal,4500,78
P00147,Teranga Home Sport & Loisirs 0147,Sport & Loisirs,Teranga Home,14500,355
P00148,Infinix Téléphonie 0148,Téléphonie,Infinix,169500,785
P00149,Lenovo Épicerie 0149,Épicerie,Lenovo,1500,678
P00150,Sunu Tech Téléphonie 0150,Téléphonie,Sunu Tech,360500,498
P00151,Teranga Home Téléphonie 0151,Téléphonie,Teranga Home,26500,335
P00152,Hisense Mode Homme 0152,Mode Homme,Hisense,36500,720
P00153,HP Mode Femme 0153,Mode Femme,HP,71500,353
P00154,HP Informatique 0154,Informatique,HP,145500,610
P00155,Hisense Beauté & Soins 0155,Beauté & Soins,Hisense,26500,461
P00156,Lenovo Enfants & Jouets 0156,Enfants & Jouets,Lenovo,2500,17
P00157,Nivea Maison & Cuisine 0157,Maison & Cuisine,Nivea,27500,563
P00158,Samsung Enfants & Jouets 0158,Enfants & Jouets,Samsung,6500,714
P00159,Samsung Épicerie 0159,Épicerie,Samsung,2000,621
P00160,Tecno Épicerie 0160,Épicerie,Tecno,3000,491
P00161,Dakar Style Informatique 0161,Informatique,Dakar Style,212000,32
P00162,Sunu Tech Maison & Cuisine 0162,Maison & Cuisine,Sunu Tech,27000,18
P00163,Samsung Téléphonie 0163,Téléphonie,Samsung,38500,680
P00164,Sunu Tech Sport & Loisirs 0164,Sport & Loisirs,Sunu Tech,13000,379
P00165,Infinix Épicerie 0165,Épicerie,Infinix,1500,361
P00166,Tecno Informatique 0166,Informatique,Tecno,241000,512
P00167,HP Beauté & Soins 0167,Beauté & Soins,HP,2000,724
P00168,HP Informatique 0168,Informatique,HP,114000,349
P00169,Teranga Home Beauté & Soins 0169,Beauté & Soins,Teranga Home,37500,429
P00170,Samsung Mode Femme 0170,Mode Femme,Samsung,77000,446
P00171,Teranga Home Épicerie 0171,Épicerie,Teranga Home,4000,380
P00172,Kirène Électroménager 0172,Électroménager,Kirène,46500,525
P00173,Hisense Sport & Loisirs 0173,Sport & Loisirs,Hisense,24500,156
P00174,Royal Maison & Cuisine 0174,Maison & Cuisine,Royal,16500,298
P00175,Nivea Sport & Loisirs 0175,Sport & Loisirs,Nivea,4500,375
P00176,Sunu Tech Enfants & Jouets 0176,Enfants & Jouets,Sunu Tech,48500,415
P00177,Itel Informatique 0177,Informatique,Itel,80500,394
P00178,Teranga Home Téléphonie 0178,Téléphonie,Teranga Home,58500,334
P00179,LG Maison & Cuisine 0179,Maison & Cuisine,LG,18500,715
P00180,Sunu Tech Informatique 0180,Informatique,Sunu Tech,586000,640
P00181,Teranga Home Mode Femme 0181,Mode Femme,Teranga Home,41500,709
P00182,Kirène Beauté & Soins 0182,Beauté & Soins,Kirène,3000,475
P00183,Penc Mi Maison & Cuisine 0183,Maison & Cuisine,Penc Mi,40000,389
P00184,LG Téléphonie 0184,Téléphonie,LG,293500,344
P00185,Dakar Style Beauté & Soins 0185,Beauté & Soins,Dakar Style,15500,694
P00186,Itel Sport & Loisirs 0186,Sport & Loisirs,Itel,6000,532
P00187,HP Téléphonie 0187,Téléphonie,HP,94000,683
P00188,Dakar Style Mode Homme 0188,Mode Homme,Dakar Style,37000,679
P00189,Penc Mi Mode Homme 0189,Mode Homme,Penc Mi,5500,758
P00190,HP Mode Homme 0190,Mode Homme,HP,15000,436
P00191,Teranga Home Mode Femme 0191,Mode Femme,Teranga Home,27000,289
P00192,Royal Informatique 0192,Informatique,Royal,243500,726
P00193,Teranga Home Beauté & Soins 0193,Beauté & Soins,Teranga Home,2000,169
P00194,Hisense Téléphonie 0194,Téléphonie,Hisense,38500,258
P00195,Adidas Téléphonie 0195,Téléphonie,Adidas,98000,755
P00196,Royal Beauté & Soins 0196,Beauté & Soins,Royal,3000,571
P00197,Infinix Épicerie 0197,Épicerie,Infinix,2000,467
P00198,HP Sport & Loisirs 0198,Sport & Loisirs,HP,14500,424
P00199,Teranga Home Mode Homme 0199,Mode Homme,Teranga Home,3000,373
P00200,Royal Mode Homme 0200,Mode Homme,Royal,14000,717
P00201,Nivea Mode Femme 0201,Mode Femme,Nivea,78500,329
P00202,Tecno Téléphonie 0202,Téléphonie,Tecno,60000,383
P00203,Tecno Maison & Cuisine 0203,Maison & Cuisine,Tecno,7000,67
P00204,Nivea Informatique 0204,Informatique,Nivea,62000,91
P00205,Samsung Sport & Loisirs 0205,Sport & Loisirs,Samsung,20000,163
P00206,Infinix Mode Homme 0206,Mode Homme,Infinix,12000,239
P00207,Adidas Mode Homme 0207,Mode Homme,Adidas,39500,233
P00208,Teranga Home Mode Femme 0208,Mode Femme,Teranga Home,24500,533
P00209,Kirène Informatique 0209,Informatique,Kirène,104500,441
P00210,Hisense Électroménager 0210,Électroménager,Hisense,74500,3
P00211,Teranga Home Électroménager 0211,Électroménager,Teranga Home,128500,413
P00212,Adidas Épicerie 0212,Épicerie,Adidas,1500,65
P00213,Teranga Home Informatique 0213,Informatique,Teranga Home,114000,434
P00214,Itel Informatique 0214,Informatique,Itel,69500,40
P00215,Adidas Électroménager 0215,Électroménager,Adidas,115500,61
P00216,Sunu Tech Mode Femme 0216,Mode Femme,Sunu Tech,18000,660
P00217,Teranga Home Maison & Cuisine 0217,Maison & Cuisine,Teranga Home,66500,7
P00218,Kirène Mode Femme 0218,Mode Femme,Kirène,7000,777
P00219,Infinix Beauté & Soins 0219,Beauté & Soins,Infinix,29500,370
P00220,Adidas Beauté & Soins 0220,Beauté & Soins,Adidas,8500,660
P00221,Samsung Informatique 0221,Informatique,Samsung,338000,154
P00222,LG Téléphonie 0222,Téléphonie,LG,120000,373
P00223,Tecno Maison & Cuisine 0223,Maison & Cuisine,Tecno,62000,713
P00224,Penc Mi Enfants & Jouets 0224,Enfants & Jouets,Penc Mi,17000,61
P00225,Penc Mi Téléphonie 0225,Téléphonie,Penc Mi,15500,344
P00226,Samsung Enfants & Jouets 0226,Enfants & Jouets,Samsung,7000,98
P00227,Sunu Tech Enfants & Jouets 0227,Enfants & Jouets,Sunu Tech,41000,281
P00228,Kirène Sport & Loisirs 0228,Sport & Loisirs,Kirène,16500,776
P00229,Kirène Beauté & Soins 0229,Beauté & Soins,Kirène,23000,435
P00230,Hisense Mode Homme 0230,Mode Homme,Hisense,40500,267
P00231,Teranga Home Beauté & Soins 0231,Beauté & Soins,Teranga Home,4500,502
P00232,Teranga Home Téléphonie 0232,Téléphonie,Teranga Home,277500,225
P00233,Nivea Électroménager 0233,Électroménager,Nivea,72000,65
P00234,LG Mode Homme 0234,Mode Homme,LG,3000,452
P00235,Penc Mi Beauté & Soins 0235,Beauté & Soins,Penc Mi,14500,593
P00236,Tecno Électroménager 0236,Électroménager,Tecno,325500,143
P00237,Lenovo Mode Femme 0237,Mode Femme,Lenovo,13000,110
P00238,Tecno Sport & Loisirs 0238,Sport & Loisirs,Tecno,7000,478
P00239,Penc Mi Enfants & Jouets 0239,Enfants & Jouets,Penc Mi,14500,309
P00240,Tecno Épicerie 0240,Épicerie,Tecno,9000,748
P00241,Penc Mi Téléphonie 0241,Téléphonie,Penc Mi,139000,285
P00242,Adidas Beauté & Soins 0242,Beauté & Soins,Adidas,5000,313
P00243,LG Mode Femme 0243,Mode Femme,LG,10000,455
P00244,Royal Beauté & Soins 0244,Beauté & Soins,Royal,9000,782
P00245,Tecno Sport & Loisirs 0245,Sport & Loisirs,Tecno,7500,551
P00246,Penc Mi Mode Homme 0246,Mode Homme,Penc Mi,38000,532
P00247,HP Beauté & Soins 0247,Beauté & Soins,HP,2000,640
P00248,Kirène Épicerie 0248,Épicerie,Kirène,3500,652
P00249,Sunu Tech Beauté & Soins 0249,Beauté & Soins,Sunu Tech,25000,421
P00250,Nivea Beauté & Soins 0250,Beauté & Soins,Nivea,8500,229
P00251,Adidas Enfants & Jouets 0251,Enfants & Jouets,Adidas,23000,124
P00252,Sunu Tech Téléphonie 0252,Téléphonie,Sunu Tech,34000,453
P00253,LG Mode Homme 0253,Mode Homme,LG,11500,556
P00254,LG Mode Femme 0254,Mode Femme,LG,31000,293
P00255,Teranga Home Téléphonie 0255,Téléphonie,Teranga Home,308000,383
P00256,LG Mode Femme 0256,Mode Femme,LG,25000,356
P00257,Lenovo Enfants & Jouets 0257,Enfants & Jouets,Lenovo,4500,471
P00258,Tecno Sport & Loisirs 0258,Sport & Loisirs,Tecno,6500,654
P00259,Lenovo Téléphonie 0259,Téléphonie,Lenovo,262500,354
P00260,Itel Épicerie 0260,Épicerie,Itel,4500,415
P00261,Penc Mi Sport & Loisirs 0261,Sport & Loisirs,Penc Mi,7000,333
P00262,Nivea Épicerie 0262,Épicerie,Nivea,3500,241
P00263,Lenovo Informatique 0263,Informatique,Lenovo,39500,561
P00264,Sunu Tech Épicerie 0264,Épicerie,Sunu Tech,1000,493
P00265,Hisense Téléphonie 0265,Téléphonie,Hisense,343000,419
P00266,LG Téléphonie 0266,Téléphonie,LG,95500,235
P00267,Dakar Style Mode Homme 0267,Mode Homme,Dakar Style,6500,694
P00268,HP Épicerie 0268,Épicerie,HP,15500,643
P00269,LG Épicerie 0269,Épicerie,LG,25000,594
P00270,Dakar Style Maison & Cuisine 0270,Maison & Cuisine,Dakar Style,76500,652
P00271,Lenovo Téléphonie 0271,Téléphonie,Lenovo,190500,381
P00272,LG Épicerie 0272,Épicerie,LG,21500,502
P00273,Tecno Électroménager 0273,Électroménager,Tecno,39000,171
P00274,Penc Mi Sport & Loisirs 0274,Sport & Loisirs,Penc Mi,61500,626
P00275,Kirène Électroménager 0275,Électroménager,Kirène,68000,14
P00276,Royal Beauté & Soins 0276,Beauté & Soins,Royal,1500,406
P00277,Nivea Téléphonie 0277,Téléphonie,Nivea,16500,164
P00278,Sunu Tech Enfants & Jouets 0278,Enfants & Jouets,Sunu Tech,3500,476
P00279,Kirène Téléphonie 0279,Téléphonie,Kirène,212500,225
P00280,Hisense Enfants & Jouets 0280,Enfants & Jouets,Hisense,36000,771
P00281,Adidas Enfants & Jouets 0281,Enfants & Jouets,Adidas,3000,94
P00282,Teranga Home Informatique 0282,Informatique,Teranga Home,517000,657
P00283,Itel Maison & Cuisine 0283,Maison & Cuisine,Itel,46500,535
P00284,Penc Mi Mode Homme 0284,Mode Homme,Penc Mi,3500,796
P00285,Lenovo Mode Homme 0285,Mode Homme,Lenovo,27000,260
P00286,Samsung Mode Homme 0286,Mode Homme,Samsung,3500,564
P00287,LG Électroménager 0287,Électroménager,LG,49000,24
P00288,Nivea Enfants & Jouets 0288,Enfants & Jouets,Nivea,11000,541
P00289,Dakar Style Téléphonie 0289,Téléphonie,Dakar Style,330500,349
P00290,Infinix Mode Homme 0290,Mode Homme,Infinix,4000,581
P00291,Nivea Mode Homme 0291,Mode Homme,Nivea,8500,627
P00292,Royal Mode Femme 0292,Mode Femme,Royal,20000,389
P00293,Royal Mode Homme 0293,Mode Homme,Royal,27500,271
P00294,Kirène Maison & Cuisine 0294,Maison & Cuisine,Kirène,86500,570
P00295,Penc Mi Enfants & Jouets 0295,Enfants & Jouets,Penc Mi,9000,721
P00296,Hisense Maison & Cuisine 0296,Maison & Cuisine,Hisense,65000,287
P00297,HP Électroménager 0297,Électroménager,HP,163000,682
P00298,Sunu Tech Enfants & Jouets 0298,Enfants & Jouets,Sunu Tech,4000,355
P00299,Sunu Tech Mode Femme 0299,Mode Femme,Sunu Tech,20000,711
P00300,Infinix Mode Homme 0300,Mode Homme,Infinix,7500,519
P00301,Hisense Maison & Cuisine 0301,Maison & Cuisine,Hisense,38000,534
P00302,Penc Mi Enfants & Jouets 0302,Enfants & Jouets,Penc Mi,5000,550
P00303,Royal Mode Homme 0303,Mode Homme,Royal,6500,645
P00304,Kirène Électroménager 0304,Électroménager,Kirène,498000,689
P00305,Itel Sport & Loisirs 0305,Sport & Loisirs,Itel,67500,311
P00306,Teranga Home Mode Femme 0306,Mode Femme,Teranga Home,13000,596
P00307,Itel Sport & Loisirs 0307,Sport & Loisirs,Itel,43500,554
P00308,Samsung Mode Femme 0308,Mode Femme,Samsung,75500,473
P00309,Dakar Style Téléphonie 0309,Téléphonie,Dakar Style,20500,179
P00310,Sunu Tech Mode Homme 0310,Mode Homme,Sunu Tech,18500,372
P00311,Lenovo Épicerie 0311,Épicerie,Lenovo,1500,163
P00312,Infinix Enfants & Jouets 0312,Enfants & Jouets,Infinix,26500,109
P00313,Sunu Tech Mode Homme 0313,Mode Homme,Sunu Tech,4000,754
P00314,Samsung Maison & Cuisine 0314,Maison & Cuisine,Samsung,53000,579
P00315,Royal Téléphonie 0315,Téléphonie,Royal,29500,439
P00316,Infinix Électroménager 0316,Électroménager,Infinix,94500,353
P00317,Royal Maison & Cuisine 0317,Maison & Cuisine,Royal,58500,57
P00318,Samsung Téléphonie 0318,Téléphonie,Samsung,19000,280
P00319,LG Sport & Loisirs 0319,Sport & Loisirs,LG,72000,157
P00320,Hisense Enfants & Jouets 0320,Enfants & Jouets,Hisense,4000,430
P00321,Sunu Tech Téléphonie 0321,Téléphonie,Sunu Tech,82500,369
P00322,Dakar Style Beauté & Soins 0322,Beauté & Soins,Dakar Style,16500,770
P00323,Teranga Home Mode Homme 0323,Mode Homme,Teranga Home,4500,676
P00324,Nivea Maison & Cuisine 0324,Maison & Cuisine,Nivea,26500,480
P00325,HP Épicerie 0325,Épicerie,HP,4000,716
P00326,LG Téléphonie 0326,Téléphonie,LG,110000,263
P00327,Nivea Maison & Cuisine 0327,Maison & Cuisine,Nivea,32500,90
P00328,Adidas Informatique 0328,Informatique,Adidas,113000,448
P00329,Sunu Tech Beauté & Soins 0329,Beauté & Soins,Sunu Tech,4000,49
P00330,Sunu Tech Mode Femme 0330,Mode Femme,Sunu Tech,5500,754
P00331,Samsung Beauté & Soins 0331,Beauté & Soins,Samsung,32500,97
P00332,Penc Mi Sport & Loisirs 0332,Sport & Loisirs,Penc Mi,14000,685
P00333,HP Maison & Cuisine 0333,Maison & Cuisine,HP,7500,537
P00334,Adidas Mode Homme 0334,Mode Homme,Adidas,3500,197
P00335,Teranga Home Maison & Cuisine 0335,Maison & Cuisine,Teranga Home,46000,426
P00336,Sunu Tech Beauté & Soins 0336,Beauté & Soins,Sunu Tech,8500,435
P00337,Hisense Téléphonie 0337,Téléphonie,Hisense,28500,590
P00338,Tecno Maison & Cuisine 0338,Maison & Cuisine,Tecno,79500,341
P00339,Teranga Home Mode Homme 0339,Mode Homme,Teranga Home,49000,474
P00340,Sunu Tech Informatique 0340,Informatique,Sunu Tech,587000,332
P00341,LG Beauté & Soins 0341,Beauté & Soins,LG,9500,76
P00342,Infinix Beauté & Soins 0342,Beauté & Soins,Infinix,5000,568
P00343,Nivea Sport & Loisirs 0343,Sport & Loisirs,Nivea,6500,206
P00344,Penc Mi Mode Femme 0344,Mode Femme,Penc Mi,10500,223
P00345,Hisense Sport & Loisirs 0345,Sport & Loisirs,Hisense,27000,265
P00346,Tecno Électroménager 0346,Électroménager,Tecno,43000,453
P00347,Hisense Maison & Cuisine 0347,Maison & Cuisine,Hisense,15000,566
P00348,Nivea Enfants & Jouets 0348,Enfants & Jouets,Nivea,12500,651
P00349,Sunu Tech Beauté & Soins 0349,Beauté & Soins,Sunu Tech,16500,477
P00350,Penc Mi Maison & Cuisine 0350,Maison & Cuisine,Penc Mi,3500,318
P00351,Dakar Style Mode Homme 0351,Mode Homme,Dakar Style,40500,757
P00352,LG Maison & Cuisine 0352,Maison & Cuisine,LG,14500,380
P00353,Teranga Home Épicerie 0353,Épicerie,Teranga Home,5000,116
P00354,Itel Épicerie 0354,Épicerie,Itel,20000,641
P00355,Lenovo Enfants & Jouets 0355,Enfants & Jouets,Lenovo,3500,750
P00356,Kirène Mode Homme 0356,Mode Homme,Kirène,42500,232
P00357,Teranga Home Épicerie 0357,Épicerie,Teranga Home,11500,176
P00358,Kirène Mode Homme 0358,Mode Homme,Kirène,59000,281
P00359,Dakar Style Épicerie 0359,Épicerie,Dakar Style,2500,274
P00360,Teranga Home Téléphonie 0360,Téléphonie,Teranga Home,23000,153
P00361,Infinix Enfants & Jouets 0361,Enfants & Jouets,Infinix,2000,27
P00362,Royal Électroménager 0362,Électroménager,Royal,296500,150
P00363,LG Électroménager 0363,Électroménager,LG,32000,237
P00364,Adidas Beauté & Soins 0364,Beauté & Soins,Adidas,4000,150
P00365,Itel Beauté & Soins 0365,Beauté & Soins,Itel,38500,159
P00366,Hisense Informatique 0366,Informatique,Hisense,122000,754
P00367,Itel Beauté & Soins 0367,Beauté & Soins,Itel,3000,173
P00368,Royal Épicerie 0368,Épicerie,Royal,9500,657
P00369,Sunu Tech Mode Femme 0369,Mode Femme,Sunu Tech,7500,457
P00370,Tecno Beauté & Soins 0370,Beauté & Soins,Tecno,8500,348
P00371,Teranga Home Épicerie 0371,Épicerie,Teranga Home,1000,624
P00372,Royal Informatique 0372,Informatique,Royal,130500,13
P00373,Tecno Mode Homme 0373,Mode Homme,Tecno,4000,595
P00374,Adidas Épicerie 0374,Épicerie,Adidas,10500,332
P00375,Infinix Informatique 0375,Informatique,Infinix,92500,663
P00376,Penc Mi Électroménager 0376,Électroménager,Penc Mi,59000,769
P00377,HP Électroménager 0377,Électroménager,HP,587500,585
P00378,Tecno Épicerie 0378,Épicerie,Tecno,13000,91
