item_id,order_id,product_id,quantite,prix_unitaire_fcfa
I00000107,O0000048,P00036,2,10500
I00000108,O0000048,P00186,1,6000
I00000109,O0000048,P00002,1,69500
I00000110,O0000049,P00387,1,4500
I00000111,O0000049,P00272,2,21500
I00000112,O0000050,P00022,1,5500
I00000113,O0000050,P00001,1,108000
I00000114,O0000050,P00017,2,25000
I00000115,O0000051,P00045,1,29000
I00000116,O0000051,P00207,2,39500
I00000117,O0000051,P00002,1,69500
I00000118,O0000051,P00470,1,89000
I00000119,O0000052,P00145,1,39000
I00000120,O0000052,P00104,3,25000
I00000121,O0000053,P00106,2,524000
I00000122,O0000054,P00073,1,11500
I00000123,O0000055,P00169,1,37500
I00000124,O0000055,P00193,2,2000
I00000125,O0000055,P00084,2,48000
I00000126,O0000056,P00001,1,108000
I00000127,O0000056,P00001,1,108000
I00000128,O0000057,P00051,1,174500
I00000129,O0000057,P00108,1,48500
I00000130,O0000058,P00052,1,388500
I00000131,O0000059,P00172,1,46500
I00000132,O0000059,P00001,1,108000
I00000133,O0000059,P00187,1,94000
I00000134,O0000060,P00565,2,231500
I00000135,O0000060,P00004,2,1600
I00000136,O0000061,P00127,1,62500
I00000137,O0000062,P00004,2,2000
I00000138,O0000063,P00013,1,23000
I00000139,O0000063,P00293,1,27500
I00000140,O0000064,P00007,1,4500
I00000141,O0000064,P00468,1,43500
I00000142,O0000064,P00004,3,2000
I00000143,O0000065,P00043,1,21000
I00000144,O0000065,P00044,1,32500
I00000145,O0000066,P00001,1,108000
I00000146,O0000067,P00054,2,20500
I00000147,O0000068,P00005,1,398300
I00000148,O0000069,P00003,1,39000
I00000149,O0000069,P00020,1,92000
I00000150,O0000070,P00145,2,39000
I00000151,O0000071,P00013,1,23000
I00000152,O0000071,P00020,1,92000
I00000153,O0000071,P00003,3,39000
I00000154,O0000071,P00166,1,183400
I00000155,O0000071,P00068,1,32000
I00000156,O0000071,P00074,1,21000
I00000157,O0000072,P00002,1,58900
I00000158,O0000073,P00379,1,182000
I00000159,O0000074,P00487,1,26000
I00000160,O0000074,P00024,3,5000
I00000161,O0000075,P00003,1,39000
I00000162,O0000076,P00013,1,23000
I00000163,O0000076,P00226,1,7000
I00000164,O0000076,P00073,2,9700
I00000165,O0000077,P00001,1,108000
I00000166,O0000077,P00002,1,69500
I00000167,O0000077,P00015,1,59000
I00000168,O0000078,P00005,1,529000
I00000169,O0000079,P00059,1,18500
I00000170,O0000079,P00288,1,11000
I00000171,O0000079,P00004,1,2000
I00000172,O0000080,P00004,3,1500
I00000173,O0000080,P00002,1,69500
I00000174,O0000080,P00076,1,93000
I00000175,O0000081,P00004,1,2000
I00000176,O0000082,P00178,1,55300
I00000177,O0000082,P00131,1,3000
I00000178,O0000083,P00005,1,529000
I00000179,O0000084,P00006,1,276000
I00000180,O0000084,P00001,3,108000
I00000181,O0000084,P00169,1,37500
I00000182,O0000084,P00468,1,43500
I00000183,O0000085,P00387,3,4500
I00000184,O0000085,P00030,1,13000
I00000185,O0000085,P00001,1,80400
I00000186,O0000086,P00216,1,18000
I00000187,O0000086,P00016,1,473000
I00000188,O0000086,P00493,1,29000
I00000189,O0000087,P00008,1,3000
I00000190,O0000087,P00021,2,22500
I00000191,O0000087,P00142,3,8500
I00000192,O0000088,P00007,1,4000
I00000193,O0000088,P00005,1,529000
I00000194,O0000089,P00234,1,3000
I00000195,O0000090,P00626,2,1500
I00000196,O0000090,P00183,1,40000
I00000197,O0000090,P00021,1,22500
I00000198,O0000091,P00028,1,61500
I00000199,O0000091,P00050,2,74500
I00000200,O0000091,P00394,1,17500
I00000201,O0000092,P00502,1,3100
I00000202,O0000092,P00201,1,78500
I00000203,O0000092,P00241,2,139000
I00000204,O0000093,P00078,1,429000
I00000205,O0000094,P00175,1,4500
I00000206,O0000094,P00014,1,115500
I00000207,O0000094,P00328,1,113000
I00000208,O0000094,P00041,1,6000
I00000209,O0000095,P00030,1,13000
I00000210,O0000096,P00008,1,3000
I00000211,O0000096,P00007,1,4500
I00000212,O0000097,P00105,1,5000
I00000213,O0000097,P00003,2,39000
I00000214,O0000097,P00040,2,68000
I00000215,O0000097,P00244,1,7400
I00000216,O0000098,P00122,3,11500
I00000217,O0000099,P00002,1,69500
I00000218,O0000099,P00466,1,35000
I00000219,O0000100,P00375,1,92500
I00000220,O0000100,P00451,1,7200
I00000221,O0000101,P00001,1,108000
I00000222,O0000102,P00468,2,43500
I00000223,O0000102,P00006,1,209800
I00000224,O0000102,P00141,1,78500
I00000225,O0000102,P00027,1,14000
I00000226,O0000103,P00022,2,5500
I00000227,O0000104,P00001,1,108000
I00000228,O0000104,P00003,1,39000
I00000229,O0000105,P00011,1,15000
I00000230,O0000105,P00145,2,39000
I00000231,O0000106,P00166,2,241000
I00000232,O0000107,P00488,2,6500
I00000233,O0000107,P00021,1,22500
I00000234,O0000108,P00237,1,13000
I00000235,O0000109,P00069,1,34400
I00000236,O0000110,P00260,1,4500
I00000237,O0000110,P00257,1,4500
I00000238,O0000110,P00487,1,26000
I00000239,O0000111,P00551,1,43500
I00000240,O0000112,P00003,1,39000
I00000241,O0000113,P00344,3,10500
I00000242,O0000114,P00001,2,108000
I00000243,O0000114,P00002,1,56000
I00000244,O0000115,P00005,2,409300
I00000245,O0000116,P00114,1,416500
I00000246,O0000116,P00207,1,39500
I00000247,O0000117,P00139,1,10500
I00000248,O0000117,P00003,1,39000
I00000249,O0000117,P00041,1,6000
I00000250,O0000117,P00513,2,4000
I00000251,O0000118,P00481,2,4500
I00000252,O0000118,P00069,2,44500
I00000253,O0000118,P00095,1,500
I00000254,O0000118,P00118,2,6000
I00000255,O0000119,P00220,1,8500
I00000256,O0000120,P00001,2,108000
I00000257,O0000120,P00096,1,5000
I00000258,O0000121,P00235,1,10800
I00000259,O0000122,P00577,1,707000
I00000260,O0000122,P00315,2,29500
I00000261,O0000122,P00333,1,7500
I00000262,O0000122,P00277,1,11800
I00000263,O0000123,P00159,1,2000
I00000264,O0000124,P00008,1,3000
I00000265,O0000124,P00108,1,48500
I00000266,O0000125,P00063,1,571000
I00000267,O0000125,P00168,1,114000
I00000268,O0000125,P00099,1,9000
I00000269,O0000125,P00180,1,586000
I00000270,O0000126,P00019,1,49500
I00000271,O0000126,P00301,1,38000
I00000272,O0000126,P00003,2,39000
I00000273,O0000126,P00279,1,212500
I00000274,O0000126,P00132,1,6500
I00000275,O0000127,P00040,1,68000
I00000276,O0000128,P00003,1,34600
I00000277,O0000129,P00006,1,276000
I00000278,O0000129,P00004,2,1700
I00000279,O0000130,P00536,1,36000
I00000280,O0000130,P00057,1,16500
I00000281,O0000131,P00219,2,24400
I00000282,O0000131,P00153,1,71500
I00000283,O0000132,P00003,1,39000
I00000284,O0000133,P00459,1,9000
I00000285,O0000134,P00006,2,276000
I00000286,O0000134,P00038,1,30800
I00000287,O0000135,P00001,1,108000
I00000288,O0000135,P00034,1,3100
I00000289,O0000135,P00070,1,500
I00000290,O0000135,P00443,1,5000
I00000291,O0000136,P00006,1,276000
I00000292,O0000137,P00153,2,71500
I00000293,O0000137,P00130,1,18000
I00000294,O0000137,P00207,3,39500
I00000295,O0000137,P00175,3,3300
I00000296,O0000138,P00069,1,44500
I00000297,O0000139,P00004,2,2000
I00000298,O0000140,P00536,1,36000
I00000299,O0000141,P00004,1,2000
I00000300,O0000141,P00009,3,32000
I00000301,O0000142,P00004,2,2000
I00000302,O0000142,P00052,1,388500
I00000303,O0000143,P00075,2,10500
I00000304,O0000144,P00112,1,12500
I00000305,O0000145,P00478,1,82500
I00000306,O0000145,P00036,1,10500
I00000307,O0000146,P00045,2,25200
I00000308,O0000147,P00238,1,7000
I00000309,O0000147,P00005,1,529000
I00000310,O0000147,P00013,1,23000
I00000311,O0000147,P00263,1,39500
I00000312,O0000147,P00286,2,3500
I00000313,O0000148,P00110,3,17000
I00000314,O0000148,P00269,1,25000
I00000315,O0000148,P00033,2,9500
I00000316,O0000149,P00308,2,75500
I00000317,O0000149,P00155,1,26500
I00000318,O0000150,P00083,1,144000
I00000319,O0000150,P00018,1,11300
I00000320,O0000151,P00162,1,27000
I00000321,O0000152,P00001,1,76700
I00000322,O0000152,P00240,1,9000
I00000323,O0000152,P00269,1,25000
I00000324,O0000152,P00291,1,8500
I00000325,O0000153,P00180,1,586000
I00000326,O0000153,P00001,1,108000
I00000327,O0000153,P00185,2,15500
I00000328,O0000153,P00026,2,21000
I00000329,O0000154,P00034,1,3500
I00000330,O0000154,P00041,1,6000
I00000331,O0000154,P00078,1,429000
I00000332,O0000155,P00344,3,10500
I00000333,O0000155,P00353,1,5000
I00000334,O0000155,P00100,1,13000
I00000335,O0000156,P00587,1,4000
I00000336,O0000157,P00001,1,108000
I00000337,O0000158,P00357,1,10800
I00000338,O0000159,P00003,1,39000
I00000339,O0000159,P00166,1,241000
I00000340,O0000159,P00055,2,61500
I00000341,O0000159,P00306,1,13000
I00000342,O0000160,P00039,1,116000
I00000343,O0000161,P00275,3,68000
I00000344,O0000161,P00031,1,479000
I00000345,O0000161,P00181,1,41500
I00000346,O0000162,P00369,1,7500
I00000347,O0000163,P00327,2,32500
I00000348,O0000163,P00220,1,8500
I00000349,O0000164,P00006,1,276000
I00000350,O0000165,P00019,1,37100
I00000351,O0000165,P00011,1,15000
I00000352,O0000165,P00011,1,15000
I00000353,O0000166,P00488,2,5600
I00000354,O0000167,P00063,1,571000
I00000355,O0000167,P00027,1,14000
I00000356,O0000167,P00395,1,21500
I00000357,O0000168,P00023,1,9500
I00000358,O0000169,P00003,1,32700
I00000359,O0000169,P00054,2,20500
I00000360,O0000169,P00124,1,3500
I00000361,O0000170,P00536,1,36000
I00000362,O0000171,P00112,1,12500
I00000363,O0000172,P00002,1,69500
I00000364,O0000173,P00196,1,3000
I00000365,O0000174,P00264,2,1000
I00000366,O0000174,P00016,1,473000
I00000367,O0000174,P00089,1,10000
I00000368,O0000175,P00005,2,529000
I00000369,O0000176,P00060,1,48800
I00000370,O0000176,P00158,1,6500
I00000371,O0000177,P00590,2,22500
I00000372,O0000178,P00019,1,49500
I00000373,O0000178,P00532,1,36000
I00000374,O0000178,P00087,1,39000
I00000375,O0000179,P00135,2,122500
I00000376,O0000180,P00128,1,80000
I00000377,O0000180,P00002,1,69500
I00000378,O0000181,P00035,1,288000
I00000379,O0000182,P00012,1,35500
I00000380,O0000182,P00188,1,37000
I00000381,O0000183,P00003,2,28200
I00000382,O0000183,P00004,1,2000
I00000383,O0000184,P00001,1,108000
I00000384,O0000184,P00474,1,42500
I00000385,O0000184,P00001,2,108000
I00000386,O0000185,P00362,1,296500
I00000387,O0000186,P00070,1,500
I00000388,O0000187,P00342,1,5000
I00000389,O0000187,P00013,2,23000
I00000390,O0000188,P00557,2,46500
I00000391,O0000188,P00329,1,4000
I00000392,O0000188,P00007,1,4500
I00000393,O0000188,P00566,1,24000
I00000394,O0000189,P00001,1,108000
I00000395,O0000189,P00122,1,11500
I00000396,O0000189,P00010,3,4500
I00000397,O0000189,P00061,1,30000
I00000398,O0000189,P00042,2,414000
I00000399,O0000190,P00333,1,7500
I00000400,O0000190,P00061,1,30000
I00000401,O0000191,P00186,2,6000
I00000402,O0000191,P00588,1,45500
I00000403,O0000192,P00164,1,13000
I00000404,O0000193,P00002,1,69500
I00000405,O0000193,P00006,1,276000
I00000406,O0000193,P00297,1,163000
I00000407,O0000193,P00053,1,5500
I00000408,O0000193,P00460,3,17500
I00000409,O0000193,P00125,1,104500
I00000410,O0000194,P00001,1,96700
I00000411,O0000194,P00015,1,59000
I00000412,O0000194,P00013,1,23000
I00000413,O0000195,P00423,2,23500
I00000414,O0000195,P00010,1,4500
I00000415,O0000196,P00004,1,2000
I00000416,O0000197,P00031,1,479000
I00000417,O0000197,P00065,1,188900
I00000418,O0000197,P00009,1,32000
I00000419,O0000197,P00001,1,99600
I00000420,O0000198,P00002,2,69500
I00000421,O0000199,P00371,1,1000
I00000422,O0000199,P00150,1,360500
I00000423,O0000199,P00005,2,529000
I00000424,O0000200,P00087,3,35500
I00000425,O0000200,P00333,1,7500
I00000426,O0000201,P00005,1,417400
I00000427,O0000201,P00029,1,1000
I00000428,O0000201,P00395,2,21500
I00000429,O0000201,P00097,2,47500
I00000430,O0000202,P00068,2,32000
I00000431,O0000203,P00441,1,4500
I00000432,O0000203,P00117,2,21000
I00000433,O0000203,P00091,1,13000
I00000434,O0000204,P00049,1,19000
I00000435,O0000204,P00171,1,4000
I00000436,O0000204,P00003,1,39000
I00000437,O0000205,P00020,1,67000
I00000438,O0000205,P00023,1,9500
I00000439,O0000205,P00001,1,108000
I00000440,O0000206,P00044,1,32500
I00000441,O0000206,P00176,2,48500
I00000442,O0000206,P00626,1,1500
I00000443,O0000206,P00002,1,69500
I00000444,O0000207,P00020,1,92000
I00000445,O0000208,P00056,1,54500
I00000446,O0000208,P00058,2,4000
I00000447,O0000209,P00011,1,15000
I00000448,O0000209,P00016,1,473000
I00000449,O0000209,P00333,1,7500
I00000450,O0000210,P00021,1,22500
I00000451,O0000210,P00075,2,9500
I00000452,O0000211,P00157,1,27500
I00000453,O0000212,P00475,2,22000
I00000454,O0000213,P00014,1,115500
I00000455,O0000213,P00303,1,6500
I00000456,O0000213,P00606,1,14500
I00000457,O0000213,P00004,1,2000
I00000458,O0000213,P00379,1,182000
I00000459,O0000214,P00008,1,3000
I00000460,O0000215,P00001,1,108000
I00000461,O0000215,P00274,1,61500
I00000462,O0000215,P00061,1,30000
I00000463,O0000216,P00007,3,4500
I00000464,O0000216,P00319,1,72000
I00000465,O0000216,P00001,1,108000
I00000466,O0000216,P00284,1,2500
I00000467,O0000216,P00014,3,115500
I00000468,O0000216,P00219,1,29500
I00000469,O0000217,P00002,1,69500
I00000470,O0000217,P00184,1,293500
I00000471,O0000218,P00121,1,146500
I00000472,O0000218,P00350,2,3500
I00000473,O0000218,P00119,1,15500
I00000474,O0000219,P00367,1,3000
I00000475,O0000220,P00571,1,19500
I00000476,O0000221,P00197,1,2000
I00000477,O0000222,P00049,1,19000
I00000478,O0000223,P00143,1,24000
I00000479,O0000223,P00002,1,69500
I00000480,O0000224,P00004,1,1700
I00000481,O0000225,P00012,1,35500
I00000482,O0000226,P00011,1,15000
I00000483,O0000227,P00068,2,32000
I00000484,O0000228,P00013,1,17500
I00000485,O0000229,P00601,3,132000
I00000486,O0000230,P00024,3,5000
I00000487,O0000230,P00016,1,473000
I00000488,O0000230,P00007,1,4500
I00000489,O0000230,P00386,1,27500
I00000490,O0000230,P00092,3,61500
I00000491,O0000231,P00024,1,5000
I00000492,O0000232,P00036,2,10500
I00000493,O0000232,P00207,1,39500
I00000494,O0000233,P00002,1,69500
I00000495,O0000233,P00016,2,473000
I00000496,O0000234,P00494,1,11500
I00000497,O0000234,P00250,1,8500
I00000498,O0000234,P00203,1,7000
I00000499,O0000234,P00516,2,32000
I00000500,O0000235,P00002,1,69500
I00000501,O0000235,P00001,2,108000
I00000502,O0000235,P00060,2,67000
I00000503,O0000236,P00086,1,5500
I00000504,O0000236,P00085,1,55500
I00000505,O0000236,P00092,1,61500
I00000506,O0000236,P00037,1,51000
I00000507,O0000237,P00040,1,68000
I00000508,O0000237,P00500,1,38000
I00000509,O0000238,P00149,1,1500
I00000510,O0000239,P00085,3,55500
I00000511,O0000239,P00463,1,10500
I00000512,O0000239,P00529,1,30000
I00000513,O0000239,P00287,1,49000
I00000514,O0000240,P00143,1,24000
I00000515,O0000240,P00009,1,32000
I00000516,O0000241,P00001,2,108000
I00000517,O0000242,P00001,1,88800
I00000518,O0000242,P00060,1,67000
I00000519,O0000242,P00001,2,108000
I00000520,O0000243,P00048,1,24000
I00000521,O0000243,P00016,1,473000
I00000522,O0000244,P00013,1,23000
I00000523,O0000245,P00018,1,12500
I00000524,O0000246,P00029,1,1000
I00000525,O0000247,P00300,1,7500
I00000526,O0000248,P00560,1,5000
I00000527,O0000249,P00079,1,371000
I00000528,O0000250,P00005,1,529000
I00000529,O0000250,P00031,1,479000
I00000530,O0000250,P00325,1,4000
I00000531,O0000250,P00001,1,108000
I00000532,O0000250,P00017,1,25000
I00000533,O0000251,P00020,1,92000
I00000534,O0000251,P00016,1,473000
I00000535,O0000251,P00001,1,108000
I00000536,O0000252,P00026,1,19800
I00000537,O0000253,P00087,3,34000
I00000538,O0000254,P00018,1,9200
I00000539,O0000254,P00226,1,7000
I00000540,O0000254,P00334,3,3500
I00000541,O0000254,P00202,1,60000
I00000542,O0000254,P00108,3,48500
I00000543,O0000255,P00240,2,9000
I00000544,O0000256,P00122,1,11500
I00000545,O0000257,P00061,1,30000
I00000546,O0000258,P00469,1,813500
I00000547,O0000259,P00040,1,68000
I00000548,O0000259,P00459,1,9000
I00000549,O0000259,P00203,2,7000
I00000550,O0000260,P00140,1,25500
I00000551,O0000260,P00331,3,29600
I00000552,O0000261,P00001,1,108000
I00000553,O0000261,P00133,1,2500
I00000554,O0000262,P00001,1,96500
I00000555,O0000262,P00595,1,263000
I00000556,O0000262,P00202,2,60000
I00000557,O0000262,P00041,2,6000
I00000558,O0000263,P00011,3,15000
I00000559,O0000263,P00001,1,108000
I00000560,O0000263,P00238,1,5900
I00000561,O0000263,P00027,1,14000
I00000562,O0000264,P00592,1,36500
I00000563,O0000264,P00172,2,46500
I00000564,O0000264,P00119,1,15500
I00000565,O0000264,P00022,1,5500
I00000566,O0000265,P00032,2,3500
I00000567,O0000265,P00002,2,69500
I00000568,O0000265,P00052,1,388500
I00000569,O0000266,P00005,1,474100
I00000570,O0000266,P00005,1,424700
I00000571,O0000267,P00085,2,55500
I00000572,O0000268,P00295,1,9000
I00000573,O0000269,P00003,3,39000
I00000574,O0000270,P00035,1,288000
I00000575,O0000271,P00318,3,19000
I00000576,O0000271,P00001,2,80600
I00000577,O0000271,P00020,1,92000
I00000578,O0000271,P00560,1,5000
I00000579,O0000272,P00040,1,68000
I00000580,O0000273,P00012,1,31300
I00000581,O0000274,P00065,2,236500
I00000582,O0000275,P00073,3,11500
I00000583,O0000275,P00343,1,6500
I00000584,O0000276,P00234,1,3000
I00000585,O0000276,P00043,1,21000
I00000586,O0000276,P00004,1,2000
I00000587,O0000276,P00553,1,3300
I00000588,O0000276,P00005,1,529000
I00000589,O0000276,P00100,1,13000
I00000590,O0000277,P00021,2,22500
I00000591,O0000278,P00315,1,29500
I00000592,O0000279,P00009,1,32000
I00000593,O0000279,P00189,1,5500
I00000594,O0000280,P00365,2,35600
I00000595,O0000280,P00018,1,12500
I00000596,O0000281,P00021,1,22500
I00000597,O0000281,P00094,2,90500
I00000598,O0000282,P00155,1,26500
I00000599,O0000283,P00001,2,108000
I00000600,O0000284,P00007,2,4500
I00000601,O0000285,P00014,1,115500
I00000602,O0000285,P00003,1,39000
I00000603,O0000285,P00001,1,108000
I00000604,O0000286,P00274,1,61500
I00000605,O0000286,P00008,2,2300
I00000606,O0000286,P00534,3,2500
I00000607,O0000286,P00409,1,5500
I00000608,O0000286,P00189,1,4400
I00000609,O0000287,P00001,1,108000
I00000610,O0000288,P00146,2,4100
I00000611,O0000288,P00009,1,24000
I00000612,O0000289,P00057,2,18500
I00000613,O0000289,P00212,1,1500
I00000614,O0000289,P00099,1,9000
I00000615,O0000290,P00027,1,12400
I00000616,O0000290,P00009,1,32000
I00000617,O0000290,P00377,1,587500
I00000618,O0000291,P00331,1,32500
I00000619,O0000292,P00624,1,17000
I00000620,O0000292,P00003,1,28400
I00000621,O0000293,P00160,1,3000
I00000622,O0000294,P00020,3,92000
I00000623,O0000294,P00105,1,4200
I00000624,O0000294,P00003,1,39000
I00000625,O0000294,P00092,3,61500
I00000626,O0000294,P00019,1,49500
I00000627,O0000295,P00454,1,2000
I00000628,O0000296,P00028,1,61500
I00000629,O0000297,P00002,3,69500
I00000630,O0000297,P00003,2,39000
I00000631,O0000297,P00086,1,5500
I00000632,O0000298,P00075,1,10500
I00000633,O0000298,P00041,1,6000
I00000634,O0000299,P00234,3,3000
I00000635,O0000299,P00001,1,108000
I00000636,O0000300,P00010,1,4500
I00000637,O0000300,P00014,1,115500
I00000638,O0000300,P00098,1,2000
I00000639,O0000300,P00401,3,2500
I00000640,O0000300,P00461,1,298000
I00000641,O0000301,P00007,1,4500
I00000642,O0000302,P00085,1,55500
I00000643,O0000302,P00307,2,43500
I00000644,O0000303,P00098,1,2000
I00000645,O0000303,P00001,1,108000
I00000646,O0000304,P00003,2,39000
I00000647,O0000305,P00056,1,54500
I00000648,O0000306,P00280,1,36000
I00000649,O0000306,P00082,1,19500
I00000650,O0000306,P00412,1,3500
I00000651,O0000306,P00002,1,69500
I00000652,O0000307,P00094,1,90500
I00000653,O0000307,P00014,1,115500
I00000654,O0000308,P00538,1,120500
I00000655,O0000308,P00088,1,24500
I00000656,O0000308,P00009,1,32000
I00000657,O0000309,P00027,2,14000
I00000658,O0000309,P00025,1,24500
I00000659,O0000309,P00066,1,1000
I00000660,O0000310,P00065,1,208100
I00000661,O0000311,P00001,2,108000
I00000662,O0000311,P00001,1,108000
I00000663,O0000311,P00558,1,120000
I00000664,O0000311,P00154,2,145500
I00000665,O0000311,P00306,1,13000
I00000666,O0000312,P00379,1,182000
I00000667,O0000313,P00008,1,3000
I00000668,O0000313,P00381,1,6000
I00000669,O0000313,P00112,1,12500
I00000670,O0000313,P00601,1,132000
I00000671,O0000314,P00255,1,308000
I00000672,O0000315,P00004,1,2000
I00000673,O0000315,P00135,1,122500
I00000674,O0000316,P00309,1,20500
I00000675,O0000317,P00004,1,2000
I00000676,O0000317,P00192,1,216200
I00000677,O0000317,P00012,1,35500
I00000678,O0000317,P00016,1,473000
I00000679,O0000317,P00001,2,108000
I00000680,O0000318,P00018,2,12500
I00000681,O0000318,P00350,1,3500
I00000682,O0000319,P00617,1,66500
I00000683,O0000320,P00009,1,32000
I00000684,O0000320,P00330,1,5500
I00000685,O0000321,P00571,3,19500
I00000686,O0000321,P00594,1,4500
I00000687,O0000321,P00054,1,20500
I00000688,O0000322,P00188,1,37000
I00000689,O0000322,P00400,1,105500
I00000690,O0000323,P00621,1,10000
I00000691,O0000323,P00054,1,20500
I00000692,O0000323,P00413,2,5000
I00000693,O0000323,P00003,2,39000
I00000694,O0000323,P00027,1,14000
I00000695,O0000324,P00010,1,4500
I00000696,O0000324,P00498,1,40000
I00000697,O0000324,P00031,1,479000
I00000698,O0000325,P00284,1,3500
I00000699,O0000326,P00139,1,10500
I00000700,O0000327,P00131,1,3000
I00000701,O0000327,P00051,2,122900
I00000702,O0000328,P00026,1,21000
I00000703,O0000328,P00081,2,7400
I00000704,O0000329,P00099,1,8300
I00000705,O0000329,P00389,1,42500
I00000706,O0000329,P00058,1,2900
I00000707,O0000330,P00012,1,35500
I00000708,O0000331,P00006,3,276000
I00000709,O0000331,P00001,1,108000
I00000710,O0000331,P00001,1,108000
I00000711,O0000331,P00026,1,21000
I00000712,O0000331,P00068,1,32000
I00000713,O0000331,P00007,1,4500
I00000714,O0000332,P00046,1,6000
I00000715,O0000332,P00189,3,5500
I00000716,O0000333,P00005,3,529000
I00000717,O0000333,P00002,1,69500
I00000718,O0000334,P00002,1,69500
I00000719,O0000334,P00094,2,90500
I00000720,O0000334,P00621,1,10000
I00000721,O0000334,P00060,1,67000
I00000722,O0000334,P00009,1,32000
I00000723,O0000335,P00020,1,92000
I00000724,O0000335,P00181,1,41500
I00000725,O0000335,P00027,2,14000
I00000726,O0000336,P00325,1,4000
I00000727,O0000336,P00017,2,18100
I00000728,O0000336,P00045,2,29000
I00000729,O0000336,P00003,1,39000
I00000730,O0000337,P00487,1,26000
I00000731,O0000338,P00279,1,212500
I00000732,O0000338,P00126,1,15500
I00000733,O0000339,P00345,1,27000
I00000734,O0000340,P00496,1,24500
